"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"28",980,147389,10640,16,"10640_15_16_17_23_24_27_28","Colorado Plateau Mixed Low Sagebrush Shrubland","Shrubland",239,119,NA,79,33,67,NA,"III-A",158,170,215,0.619607843,0.666666667,0.843137255,32779,0.3
"29",993,150683,11170,16,"11170_16_23_24","Southern Rocky Mountain Ponderosa Pine Savanna","Conifer",158,80,9,8,5,10,85,"I-B",255,85,0,1,0.333333333,0,33511,0.3
"30",998,150205,11350,16,"11350_16_23_24","Inter-Mountain Basins Semi-Desert Grassland","Grassland",25,NA,NA,25,100,NA,NA,"II-C",185,174,211,0.725490196,0.682352941,0.82745098,33405,0.3
"31",1010,164044,10160,23,"10160_16_23_24_25","Colorado Plateau Pinyon-Juniper Woodland","Conifer",435,195,2265,127,29,65,6,"III-B",205,170,102,0.803921569,0.666666667,0.4,36483,0.3
"32",968,81175,10190,16,"10190_6_7_9_12_16_17_18_19","Great Basin Pinyon-Juniper Woodland","Conifer",865,898,NA,440,51,49,NA,"V-A",115,76,0,0.450980392,0.298039216,0,18053,0.2
"33",981,91737,10700,16,"10700_16","Rocky Mountain Alpine Dwarf-Shrubland","Shrubland",227,NA,NA,227,100,NA,NA,"V-A",19,118,92,0.074509804,0.462745098,0.360784314,20402,0.2
"34",985,126458,10810,16,"10810_15_16_23_24_28","Inter-Mountain Basins Mixed Salt Desert Scrub","Shrubland",616,NA,NA,616,100,NA,NA,"V-B",245,202,122,0.960784314,0.792156863,0.478431373,28124,0.2
"35",989,114386,11030,16,"11030_6_7_12_13_16_17_23","Great Basin Semi-Desert Chaparral","Shrubland",50,NA,NA,50,100,NA,NA,"IV-A",174,250,255,0.682352941,0.980392157,1,25439,0.2
"36",994,112941,11250,16,"11250_6_12_13_15_16_17_18_23_24_25_28","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland",117,NA,NA,117,100,NA,NA,"IV-B",255,115,223,1,0.450980392,0.874509804,25117,0.2
"37",997,119437,11270,16,"11270_16_23_24_25","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",105,NA,NA,105,100,NA,NA,"IV-B",194,158,215,0.760784314,0.619607843,0.843137255,26562,0.2
"38",1005,125420,11600,16,"11600_16","Rocky Mountain Subalpine/Upper Montane Riparian Systems","Riparian",271,NA,80,61,23,NA,77,"III-A",49,165,167,0.192156863,0.647058824,0.654901961,27893,0.2
"39",401,42370,10660,16,"10660_16_23_24","Inter-Mountain Basins Mat Saltbush Shrubland","Shrubland",NA,NA,NA,NA,NA,NA,NA,NA,11,190,127,0.043137255,0.745098039,0.498039216,9423,0.1
"40",880,50659,10160,22,"10160_22","Colorado Plateau Pinyon-Juniper Woodland","Conifer",458,215,3310,140,31,65,4,"III-B",205,170,102,0.803921569,0.666666667,0.4,11266,0.1
"41",905,43949,11590,22,"11590_22","Rocky Mountain Montane Riparian Systems","Riparian",271,NA,79,61,23,NA,77,"III-A",123,124,93,0.482352941,0.48627451,0.364705882,9774,0.1
"42",983,68379,10790,16,"10790_6_9_10_12_16_17_18","Great Basin Xeric Mixed Sagebrush Shrubland","Shrubland",94,831,NA,84,90,10,NA,"IV-A",57,194,207,0.223529412,0.760784314,0.811764706,15207,0.1
"43",1002,74281,11530,16,"11530_16_23_24_25_27","Inter-Mountain Basins Greasewood Flat","Shrubland",208,NA,NA,208,100,NA,NA,"V-A",225,225,225,0.882352941,0.882352941,0.882352941,16520,0.1
"44",1015,53303,10540,23,"10540_16_23_24","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",280,226,20,17,6,8,86,"I-C",168,56,0,0.658823529,0.219607843,0,11854,0.1
"45",1033,30017,11070,23,"11070_23_24","Rocky Mountain Gambel Oak-Mixed Montane Shrubland","Shrubland",51,150,NA,38,74,26,NA,"III-A",115,255,223,0.450980392,1,0.874509804,6676,0.1
"46",1038,26717,11262,23,"11262_16_23","Inter-Mountain Basins Montane Sagebrush Steppe-Low Sagebrush","Shrubland",219,NA,NA,219,100,NA,NA,"V-A",255,197,191,1,0.77254902,0.749019608,5942,0.1
"47",12,412,12,NA,NA,"Perennial Ice/Snow","Perennial Ice/Snow",NA,NA,NA,NA,NA,NA,NA,NA,159,161,240,0.623529412,0.631372549,0.941176471,92,0
"48",385,2265,10040,13,"10040","North American Warm Desert Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,504,0
"49",400,2759,10820,16,"10820_12_15_16_17_23_24","Mojave Mid-Elevation Mixed Desert Scrub","Shrubland",815,NA,NA,815,100,NA,NA,"V-B",216,6,73,0.847058824,0.023529412,0.28627451,614,0
"50",410,90,10010,21,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,20,0
"51",488,208,10010,13,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,46,0
"52",491,2168,10160,13,"10160_13_14","Colorado Plateau Pinyon-Juniper Woodland","Conifer",483,340,768,158,33,46,21,"III-B",205,170,102,0.803921569,0.666666667,0.4,482,0
"53",492,474,10190,13,"10190_13_14","Great Basin Pinyon-Juniper Woodland","Conifer",474,337,780,157,33,47,20,"III-B",115,76,0,0.450980392,0.298039216,0,105,0
"54",495,14,10540,13,"10540_13_14","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",254,39,28,15,6,39,55,"I-B",168,56,0,0.658823529,0.219607843,0,3,0
"55",496,4,10610,13,"10610_13","Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland","Hardwood-Conifer",81,55,NA,33,41,59,NA,"I-C",230,230,0,0.901960784,0.901960784,0,1,0
"56",499,636,10800,13,"10800_13_14","Inter-Mountain Basins Big Sagebrush Shrubland","Shrubland",111,NA,NA,111,100,NA,NA,"IV-B",255,190,232,1,0.745098039,0.909803922,141,0
"57",501,22600,10820,13,"10820_4_13","Mojave Mid-Elevation Mixed Desert Scrub","Shrubland",399,NA,NA,399,100,NA,NA,"V-A",216,6,73,0.847058824,0.023529412,0.28627451,5026,0
"58",503,132,10870,13,"10870_4_6_12_13_14_15_17_24_25","Sonora-Mojave Creosotebush-White Bursage Desert Scrub","Shrubland",329,NA,NA,329,100,NA,NA,"V-A",52,154,184,0.203921569,0.603921569,0.721568627,29,0
"59",506,95,10930,13,"10930_13_15_16_23_24_28","Southern Colorado Plateau Sand Shrubland","Shrubland",220,NA,NA,220,100,NA,NA,"V-A",134,219,24,0.525490196,0.858823529,0.094117647,21,0
"60",508,25,11030,13,"11030_6_7_12_13_16_17_23","Great Basin Semi-Desert Chaparral","Shrubland",50,NA,NA,50,100,NA,NA,"IV-A",174,250,255,0.682352941,0.980392157,1,6,0
